minute,sex,mean_activity
min1362,male,7.68606917184265
min1363,female,7.214467337662338
min1363,male,7.388036542443064
min1364,female,6.958556125541126
min1364,male,7.254341614906832
min1365,female,7.409263203463204
min1365,male,7.4495166873706005
min1366,female,7.255713095238096
min1366,male,7.22329281573499
min1367,female,7.191291601731602
min1367,male,7.169437225672878
min1368,female,7.222792705627706
min1368,male,7.030646604554866
min1369,female,6.8755857792207795
min1369,male,7.1032950103519665
min137,female,1.7700588528138528
min137,male,2.1240037267080747
min1370,female,6.851280909090909
min1370,male,7.1953516563147
min1371,female,6.665394415584416
min1371,male,7.261570227743271
min1372,female,6.582350173160173
min1372,male,6.893709565217391
min1373,female,6.551256168831169
min1373,male,6.701589710144928
min1374,female,6.492987619047619
min1374,male,6.815429648033126
min1375,female,6.401720670995671
min1375,male,6.341492008281573
min1376,female,6.377706948051948
min1376,male,6.685258654244307
min1377,female,5.998611515151516
min1377,male,6.543247474120083
min1378,female,6.21952564935065
min1378,male,6.648454865424431
min1379,female,6.37900329004329
min1379,male,6.794629296066253
min138,female,1.7430544372294372
min138,male,1.9832324016563148
min1380,female,6.8226429437229434
min1380,male,6.8751448033126294
min1381,female,7.321625476190476
min1381,male,7.252567494824016
min1382,female,6.946793831168831
min1382,male,7.350971345755694
min1383,female,6.695460064935065
min1383,male,7.389422505175983
min1384,female,6.614762164502165
min1384,male,7.097745942028985
min1385,female,6.439518528138528
min1385,male,6.990308861283644
min1386,female,6.141572121212121
min1386,male,7.021080683229814
min1387,female,6.243074740259741
min1387,male,6.796053084886128
min1388,female,6.308029783549784
min1388,male,6.7338214492753625
min1389,female,6.250443073593074
min1389,male,6.490508612836439
min139,female,1.7603172510822511
min139,male,2.1091127329192547
min1390,female,6.371447575757576
min1390,male,6.3711928157349895
min1391,female,6.0175880086580085
min1391,male,6.4007060869565215
min1392,female,6.163120389610389
min1392,male,6.179535879917184
min1393,female,6.36316183982684
min1393,male,6.522467494824016
min1394,female,6.37249696969697
min1394,male,6.227690807453416
min1395,female,5.999284307359307
min1395,male,6.21690751552795
min1396,female,6.125671406926407
min1396,male,6.12620486542443
min1397,female,6.076072640692641
min1397,male,6.013288861283644
min1398,female,5.8151244372294375
min1398,male,5.900541138716356
min1399,female,5.699643225108225
min1399,male,6.102559254658385
min14,female,3.817491341991342
min14,male,4.554865051759834
min140,female,1.7073624025974026
min140,male,2.0924768322981366
min1400,female,5.593094329004329
min1400,male,6.203133167701863
min1401,female,5.858294588744589
min1401,male,5.942268136645962
min1402,female,5.843992575757576
min1402,male,6.125390559006211
min1403,female,5.7462379004329005
min1403,male,5.970689606625259
min1404,female,5.785902316017316
min1404,male,6.023847619047619
min1405,female,5.510463571428572
min1405,male,5.451750890269151
min1406,female,5.596089523809524
min1406,male,5.584766418219462
min1407,female,5.634200303030303
min1407,male,5.546028364389234
min1408,female,5.1544555194805195
min1408,male,5.181607308488613
min1409,female,5.167191017316017
min1409,male,5.385995155279503
min141,female,1.8927878571428571
min141,male,2.3324430641821947
min1410,female,5.322283701298701
min1410,male,5.63164629399586
min1411,female,5.3651895454545455
min1411,male,5.77303966873706
min1412,female,5.482365670995671
min1412,male,5.300786066252588
min1413,female,5.615476363636364
min1413,male,5.307989026915114
min1414,female,5.3225946103896105
min1414,male,5.649345714285714
min1415,female,5.157633917748917
min1415,male,5.500396438923396
min1416,female,4.808630974025974
min1416,male,5.338779565217392
min1417,female,4.882192575757576
min1417,male,5.549232298136646
min1418,female,5.182807380952381
min1418,male,5.231801532091097
min1419,female,4.565690476190476
min1419,male,4.9604566666666665
min142,female,1.7657462337662337
min142,male,2.0558292960662525
min1420,female,5.051943809523809
min1420,male,5.171237101449275
min1421,female,5.073070497835498
min1421,male,5.030199979296066
min1422,female,5.25932487012987
min1422,male,5.184796128364389
min1423,female,5.239322142857143
min1423,male,4.90147066252588
min1424,female,5.018560606060606
min1424,male,5.357923250517598
min1425,female,4.938234285714286
min1425,male,5.511710124223603
min1426,female,4.624058181818182
min1426,male,5.14324718426501
min1427,female,4.410901623376623
min1427,male,5.061601449275362
min1428,female,4.512773203463204
min1428,male,4.963705072463768
min1429,female,4.093354458874459
min1429,male,4.790526853002071
min143,female,1.7297411904761903
min143,male,2.2729869979296065
min1430,female,4.130890627705628
min1430,male,5.178884016563147
min1431,female,4.367791861471861
min1431,male,4.757112670807453
min1432,female,4.565912207792208
min1432,male,4.950480559006211
min1433,female,4.721526277056277
min1433,male,4.634493623188406
min1434,female,4.608164783549784
min1434,male,4.7384299792960665
min1435,female,4.470160974025974
min1435,male,4.927450890269151
min1436,female,4.622082748917749
min1436,male,5.112004637681159
min1437,female,4.1802371861471865
min1437,male,4.853426273291926
min1438,female,4.111472251082251
min1438,male,4.655334886128364
min1439,female,3.901238636363636
min1439,male,4.797817805383023
min144,female,1.5265795021645021
min144,male,2.049265403726708
min1440,female,3.6669338528138526
min1440,male,4.825277743271221
min145,female,1.485221212121212
min145,male,2.0217151138716356
min146,female,1.4554612554112554
min146,male,2.0795258592132506
min147,female,1.5957745887445889
min147,male,2.231696314699793
min148,female,1.5164859956709957
min148,male,2.237729192546584
min149,female,1.752699025974026
min149,male,2.1322482401656315
min15,female,4.026817532467533
min15,male,4.5670583436853
min150,female,1.517514761904762
min150,male,2.0174255279503104
min151,female,1.2535438311688312
min151,male,2.1424550310559005
